,name,show_name,link,about,genre,age,cinema,time
20,medžiotojaskreivenas(kravenhunter),Kraven the Hunter,https://www.apollokinas.lt/event/4538/med%C5%BEiotojas_kreivenas?theatreAreaID=1019&dt=23.12.2024,"Dar būdamas paauglys, Sergejus Kravinofas (aktorius Aaronas Tayloras-Johnsonas) iš savo tėvo Nikolajaus (akt. Russellas Crowe) išmoko svarbią pamoką: niekuomet niekam neparodyti savo silpnumo. Vienos medžioklės metu, likęs akis į akį su liūtu, vaikinas nesugebėjo laiku nuspausti gaiduko ir liūtas jį užpuolė. Užuot gelbėjęs, principams ištikimas tėvas paliko sūnų mirti. Tik Sergejus nemirė.Priešingai: į jo organizmą patekus taip pat sužeisto liūto kraujo, vaikinas įgijo šio žvėries galios bei stiprybės. O svarbiausia – jame prabudo pagrindinis visų plėšrūnų instinktas žudyti. Sergejus tapo Kreivenu – tikru medžiotoju, pasiryžusiu įrodyti, kad yra geriausias pasaulyje. Medžiotoju, kuris, išsrinkęs auką, nesustos ir nenusiramins, kol nepasieks savo tikslo. Klausimas tik – kas taps ta jo auka?Filmas anglų kalba su lietuviškais subtitrais.","veiksmo, mokslinė fantastika, nuotykių",N16,Apollo Kinas Akropolyje,"18:10, 21:10"
21,vajana2(moana2),Moana 2,https://www.apollokinas.lt/event/4779/vajana_2?theatreAreaID=1019&dt=23.12.2024,"„Vajana 2“ kviečia pasinerti į naują kelionę!Vajana, sulaukusi netikėto ženklo iš savo protėvių, turi keliauti per tolimas Okeanijos jūras į itin pavojingus vandenis, kur jos laukia nuotykiai, nepanašūs į nieką, su kuo ji kada nors susidūrė.Kartu su pusdieviu ir geriausiu bičiuliu Maui bei visiškai nauja jūreivių įgula, narsioji Vajana epinėje kelionėje dar kartą prisimins savo tikrąją prigimtį.Kino studijos „Disney“ originali animacija „Vajana“, paremta Ramiojo vandenyno Polinezijos salų mitologija, supažindino su narsia mergaite, keliaujančia po vandens pasaulį ir siekiančia išgelbėti savo tautą. Filmas buvo nominuotas dviem „Oskaro“ apdovanojimams ir turėjo itin didelį poveikį visuomenės požiūriui į „Disney“ princeses.Filmas dubliuotas lietuviškai.","komedija, nuotykių, animacinis, šeimos",V,Apollo Kinas Akropolyje,18:20
22,reemigrantai2(reemigrantai2),ReEmigrantai 2,https://www.apollokinas.lt/event/4877/reemigrantai_2?theatreAreaID=1019&dt=23.12.2024,"Jau pažįstama ketveriukė Arminas (Audrius Bružas), Dariušas (Valentinas Krulikovskis), Friodas (Marius Pocevičius), Karosas (Kirilas Glušajevas) leidžiasi į naują, pavojų ir nuotykių kupiną kelionę. Londone miršta pusbrolių Froido ir Karoso baba Vida. Sutarta, kol Karosas ruoš šermenis, draugai į Lietuvą pargabens babos daiktus. Tačiau parengtą planą sujaukia netikėtos finansinės aplinkybės. Draugams tenka iš laidojimo namų pavogti babą ir per visą Europą sprukti į Lietuvą.  Ar pavyks bičiuliams babą Vidą pristatyti į jos laidotuves laiku? O gal įpykę smogikai iš Anglijos laidojimo namų juos sugaus ir privers už viską sumokėti? Veiksmo komedija „ReEMIGRANTAI 2“ žada tikrą vyrišką draugystę, dvigubai daugiau juoko ir trigubai daugiau veiksmo. Filmas lietuvių kalba, be subtitrų.","komedija, veiksmo, Lietuviškas kinas",N13,Apollo Kinas Akropolyje,"18:50, 19:30, 21:55"
23,gladiatorius2(gladiatorii),Gladiator II,https://www.apollokinas.lt/event/4805/gladiatorius_2?theatreAreaID=1019&dt=23.12.2024,"Dėl valdžios. Dėl sukilimo. Dėl keršto. Viena istorija baigiasi. Ir prasideda kita.Liucijus (akt. Paul Mescal), buvusio Romos imperatoriaus Marko Aurelijaus anūkas ir Liucilos (akt. Connie Nielsen) sūnus, gyvena ramų gyvenimą kol jo nesujaukia Romos kareiviai, vadovaujami generolo Akacijaus (akt. Pedro Pascal), pagrobdami ir parduodami Liucijų į vergiją.Įkvėptas garsaus romėnų armijos generolo ir sau lygių neturėjusio gladiatoriaus Maksimo, Liucijus ryžtasi kovoti kaip gladiatorius, siekdamas sugriauti jaunųjų imperatorių Karakalos ir Getos valdžią.Įtūžis – jo dovana. Ir jis ją išpakuos didingiausioje šventykloje, kokią yra pastačiusi Roma – Koliziejuje – arenoje, kuri vergus paverčia gladiatoriais, o gladiatorius – laisvais žmonėmis.Prieš beveik ketvirtį amžiaus pasirodęs režisieriaus Ridley Scott epinis istorinės dramos filmas „Gladiatorius“ laimėjo net 48 apdovanojimus iš 119 nominacijų, tarp jų penkis „Oskarus“, įskaitant pagrindinį, geriausio filmo apdovanojimą.Filmas anglų kalba su lietuviškais subtitrais.Filmo amžiaus cenzas N-16 (jaunesni asmenys neįleidžiami)","drama, veiksmo, nuotykių",N16,Apollo Kinas Akropolyje,20:30
24,tyliojibrolija(order),Order,https://www.apollokinas.lt/event/4898/tylioji_brolija?theatreAreaID=1019&dt=23.12.2024,"Tikra istorija paremtas trileris apie radikalių baltųjų grupuočių veiklą JAV, kurių veiksmai sėjo paniką ir mirtį Aidaho ir Vašingtono valstijose, o tie patys planai vidaus terorizmo veiksmams siekė net 2021 metų sausio 6-osios sukilimą prie JAV Kapitolijaus.Ieškodamas ramesnio gyvenimo FTB agentas persikelia dirbti į mažą miestelį JAV vakaruose, tikėdamasis pamiršti praeities košmarus. Tačiau tik atvykęs jis pradeda pastebėti pirmuosius keistus ženklus, vedančios link itin pavojingos revoliucijos visos valstybės mastu. Radikalėjantys baltųjų galios, neonacizmo atstovai siekia kelti sumaištį visuomenėje ir paskelbti rasių karą, tačiau juos sustabdyti pirmieji bando mažo miestelio pareigūnai ir keli FTB agentai, kurių pastangos, atrodo, bergždžios prieš masinius sprogdinimus ir bankų bei šarvuotų automobilių apiplėšimus organizuojančius nusikaltėlius. Filmas anglų kalba su lietuviškais subtitrais.Filmo amžiaus cenzas N-16 (jaunesni asmenys neįleidžiami)","drama, trileris, kriminalinis",N16,Apollo Kinas Akropolyje,21:15
25,užgretimųdurų(roomnextdoor),Room Next Door,https://www.apollokinas.lt/event/4847/u%C5%BE_gretim%C5%B3_dur%C5%B3?theatreAreaID=1019&dt=23.12.2024,"Ispanų kino grandas Pedro Almodóvaras, jau seniausiai užsitarnavęs vietą kino Olimpe juostomis „Viskas apie mano mamą“, „Pasikalbėk su ja“, „Blogas auklėjimas“, „Sugrįžimas“, „Šalti apkabinimai“ pristato naują savo darbą – šių metų Venecijos kino festivalyje pagrindinį „Auksinio liūto“ apdovanojimą laimėjusią nuostabiai ramią, melancholišką, šiltą ir įžvalgią kino juostą „Už uždarų durų“.Jaunystėje viename prašmatniame Niujorko žurnale kartu dirbusių artimų draugių Ingridos ir Martos (aktorės Julianne Moore ir Tilda Swinton) gyvenimo keliai seniai išsiskyrę. Tačiau praėjus daugybei metų, nepagydoma liga serganti Marta susiranda Ingridą ir paprašo jos neįprastos paslaugos: pabūti šalia, kai Marta nuspręs pagaliau nutraukti savo kančias. Nors ir šokiruota tokio prašymo, Ingrida draugei atsakyti negali ir jos kartu išvyksta į nuošalų namelį, iš kurio Marta pasiryžusi nebeišvažiuoti.Netrukus į naują moterų kasdienybę sugrįžta ir dar vienas žmogus iš praeities: skirtingais laikotarpiais buvęs jų abiejų meilužis (akt. Johnas Turturro). Trys kažkada buvę draugai, apsunkinti daugybės metų patirties, bando iš naujo atrasti vienas kitą, prisiminti dalykus, kurie juos padarė bičiuliais ir susitaikyti su neišvengiama, nei vieno iš mūsų neaplenksiančia pabaiga.Filmas anglų kalba su lietuviškais subtitrais.",drama,N13,Apollo Kinas Akropolyje,21:35
26,mufasaliūtaskaralius(mufasalionking),Mufasa: The Lion King (dubbed),https://www.forumcinemas.lt/event/310280/mufasa_li%C5%ABtas_karalius_dubliuotas?theatreAreaID=1011&dt=23.12.2024,"Našlaitis. Prašalaitis. Karalius! Liūtas, kuris amžiams pakeitė mūsų gyvenimus.Simba, užėmęs teisėtą vietą soste kaip žvėrių valdovas, yra pasiryžęs, kad jo jauniklė dukra Kiara sektų savo senelio Mufasos pėdomis ir pristato Afrikos žvėrių valdovo liūto legendą.Istorija pasakojama prisiminimais, kurie pristato būsimą karalių Mufasą kaip našlaitį jauniklį, pasimetusį ir vienišą, kuris atsitiktinai sutinka Taką – karališkosios kraujo linijos įpėdinį. Kartu jie ryžtasi gyvenimo kelionei, kurios metu privalės išvengti grėsmingo ir mirtino priešo.1994 m. kino teatruose pasirodęs animacinis filmas apie liūtuko Simbos gyvenimą ir nuotykius tapo tikra sensacija ir iki šiol išlaiko lyderio pozicijas kaip visų laikų populiariausias ranka pieštas animacinis filmas. Praėjus ketvirčiui amžiaus nuo originalo pasirodymo kino teatrus pasiekė kompiuteriu sukurtas „vaidybinis“ filmo perdirbinys, pristatęs istoriją naujai žiūrovų kartai.„Oskaro“ laureato režisieriaus Barry Jenkins kino juostos „Mufasa. Liūtas karalius“ muzikinį takelį pristato Lin-Manuel Miranda kartu su Elton John, Hans Zimmer, Labrinth, Beyoncé bei kt.Filmas dubliuotas lietuviškai, be subtitrų.Režisavo: Barry Jenkins („Mėnesiena“, „Po saulės“, „Jei Bylo gatvė prabiltų“)","Drama, Animacija, Nuotykių",N7,Forum_cinemas,"16:30, 18:20"
27,piktoji(wicked),Wicked (dubbed),https://www.forumcinemas.lt/event/310338/piktoji_dubliuotas?theatreAreaID=1011&dt=23.12.2024,"Po dviejų dešimtmečių vienas labiausiai pamėgtų, tiek jaunų, tiek senų žiūrovų, Brodvėjaus miuziklų atkeliauja į didįjį kino ekraną ir žada įspūdingą ir nepavaldžią laikui šventę!Dar negirdėtoje istorijoje apie Ozo raganas, pagrindinius vaidmenis atlieka „Grammy“, „Emmy“ bei „Tony“ apdovanojimų laimėtoja, anglų aktorė ir dainininkė Cynthia Erivo, vaidinanti Elphabą – jauną moterį, atstumtą dėl neįprastos žalios odos, kuri dar neatrado savo tikrosios galios – ir daugybės platininių įrašų amerikiečių popmuzikos atlikėja ir pasaulinė superžvaigždė Ariana Grande, vaidinanti Glindą – populiarią ir ambicingą jauną moterį, kuri dar neatrado savo tikrosios širdies.Susitikusios, kaip studentės fantastiškos Ozo žemės universitete, merginos netikėtai užmezga gilią draugystę. Vis dėlto susidūrusi su nuostabiuoju Ozo šalies burtininku, jų draugystė pasiekia kryžkelę ir jų gyvenimas pasisuka labai skirtingais keliais.Dėl liguisto populiarumo troškimo Glindą suvilioja valdžia. Tuo tarpu Elphabos pasiryžimas išlikti ištikimai sau ir aplinkiniams turės netikėtų ir net šokiruojančių padarinių jos ateičiai.Nepaprasti merginų nuotykiai Oze galiausiai išpildys savo, kaip gerosios ir piktosios raganos, likimus.Taip pat šiame filme karališkojo universiteto direktorę vaidina „Oskaro“ laureatė Michelle Yeoh, ir popkultūros ikona Jeff Goldblum vaidina legendinį Ozo burtininką.Sukurtas pagal Gregory Maguire romaną, pripažinto kino kūrėjo Jon M. Chu režisuotas filmas „Piktoji“ yra pirmoji dviejų dalių ekranizacija. Antroji dalis kino teatrus turėtų pasiekti 2025 metais. Iš „Ozo šalies burtininko“ teatro ir kino adaptacijų Lietuvoje vienas populiariausių – „Keistuolių teatro“ spektaklis vaikams „Geltonų plytų kelias“.Ši filmo versija rodoma dubliuota lietuviškai, be subtitrų.Režisavo: Jon M. Chu („Pasakiškai turtingi“, „Šokis hip-hopo ritmu 3-D“, „Justin Bieber: niekada nesakyk niekada“)","Fantastinis, Romantinis, Muzikinis",N7,Forum_cinemas,"17:10, 20:30"
28,kalėdųeglutėsgyvenimasirmirtis(lifeanddeathofachristmastree),Life and Death of a Christmas Tree,https://www.forumcinemas.lt/event/310576/kal%C4%97d%C5%B3_eglut%C4%97s_gyvenimas_ir_mirtis?theatreAreaID=1011&dt=23.12.2024,"Kokią paslaptį slepia Kalėdų eglutė? Visų medžių „princesė“ keliauja per valstybes ir kultūras, tačiau šventinis šurmulys ir blizgučiai slepia milijardinį verslą ir kasdienę jo atstovų kovą dėl išlikimo. Niekas net neįtaria, kad gražiausios daniškos eglutės tankiais spygliais užaugintos iš Sakartvele surinktų sėklų. Socialinėje dramoje stebime Sakartvelo ir Danijos eglučių augintojų bendruomenes, patiriame jų džiaugsmus ir nuoskaudas, atrandame kultūrų panašumus ir skirtumus.Amžiaus cenzas: N-13Kalba: kartvelų, danų, lietuvių, anglųSubtitrai: lietuviųRežisierius: Arturas Jevdokimovas Prodiuserė: Ringailė LeščinskienėOperatoriai: Goga Devdariani, Bernardas AndriušisMontažo režsierius: Bernardas Andriušis Kompozitorius: Gintaras SodeikaGamintojai: Anaben (Lietuva), GotFat Productions (Danija), Funky Production House (Sakartvelas)Platintojas: Zero Copy",Dokumentika,N13,Forum_cinemas,17:15
29,mufasaliūtaskaralius3d(mufasalionking3d),Mufasa: The Lion King (dubbed) 3D,https://www.forumcinemas.lt/event/310591/mufasa_li%C5%ABtas_karalius_dubliuotas_3d?theatreAreaID=1011&dt=23.12.2024,"Našlaitis. Prašalaitis. Karalius! Liūtas, kuris amžiams pakeitė mūsų gyvenimus.Simba, užėmęs teisėtą vietą soste kaip žvėrių valdovas, yra pasiryžęs, kad jo jauniklė dukra Kiara sektų savo senelio Mufasos pėdomis ir pristato Afrikos žvėrių valdovo liūto legendą.Istorija pasakojama prisiminimais, kurie pristato būsimą karalių Mufasą kaip našlaitį jauniklį, pasimetusį ir vienišą, kuris atsitiktinai sutinka Taką – karališkosios kraujo linijos įpėdinį. Kartu jie ryžtasi gyvenimo kelionei, kurios metu privalės išvengti grėsmingo ir mirtino priešo.1994 m. kino teatruose pasirodęs animacinis filmas apie liūtuko Simbos gyvenimą ir nuotykius tapo tikra sensacija ir iki šiol išlaiko lyderio pozicijas kaip visų laikų populiariausias ranka pieštas animacinis filmas. Praėjus ketvirčiui amžiaus nuo originalo pasirodymo kino teatrus pasiekė kompiuteriu sukurtas „vaidybinis“ filmo perdirbinys, pristatęs istoriją naujai žiūrovų kartai.„Oskaro“ laureato režisieriaus Barry Jenkins kino juostos „Mufasa. Liūtas karalius“ muzikinį takelį pristato Lin-Manuel Miranda kartu su Elton John, Hans Zimmer, Labrinth, Beyoncé bei kt.Ši filmo versija bus rodoma 3D formatu, dubliuota lietuviškai ir be subtitrų.Režisavo: Barry Jenkins („Mėnesiena“, „Po saulės“, „Jei Bylo gatvė prabiltų“)","Drama, Animacija, Nuotykių",N7,Forum_cinemas,17:20
30,gladiatorius2(gladiatorii),Gladiator II,https://www.forumcinemas.lt/event/310316/gladiatorius_2?theatreAreaID=1011&dt=23.12.2024,"Dėl valdžios. Dėl sukilimo. Dėl keršto. Viena istorija baigiasi. Ir prasideda kita.Liucijus (akt. Paul Mescal), buvusio Romos imperatoriaus Marko Aurelijaus anūkas ir Liucilos (akt. Connie Nielsen) sūnus, gyvena ramų gyvenimą kol jo nesujaukia Romos kareiviai, vadovaujami generolo Akacijaus (akt. Pedro Pascal), pagrobdami ir parduodami Liucijų į vergiją.Įkvėptas garsaus romėnų armijos generolo ir sau lygių neturėjusio gladiatoriaus Maksimo, Liucijus ryžtasi kovoti kaip gladiatorius, siekdamas sugriauti jaunųjų imperatorių Karakalos ir Getos valdžią.Įtūžis – jo dovana. Ir jis ją išpakuos didingiausioje šventykloje, kokią yra pastačiusi Roma – Koliziejuje – arenoje, kuri vergus paverčia gladiatoriais, o gladiatorius – laisvais žmonėmis.Prieš beveik ketvirtį amžiaus pasirodęs režisieriaus Ridley Scott epinis istorinės dramos filmas „Gladiatorius“ laimėjo net 48 apdovanojimus iš 119 nominacijų, tarp jų penkis „Oskarus“, įskaitant pagrindinį, geriausio filmo apdovanojimą.Filmas anglų kalba su lietuviškais subtitrais.Amžiaus cenzas: N-16. Žiūrovams nuo 16 metų.Režisavo: Ridley Scott („Gladiatorius“, „Svetimas“, „Bėgantis skustuvo ašmenimis“)Vaidina: Paul Mescal, Denzel Washington, Pedro Pascal, Connie Nelsen, Derek Jacobi, Joseph Quinn, Peter Mensah, Fred Hechinger, Matt Lucas, May Calamawy, Lior Raz","Veiksmo, Drama, Nuotykių",N16,Forum_cinemas,18:00
31,paskutinėfroidosesija(freud'slastsession),Freud's Last Session,https://www.forumcinemas.lt/event/310453/paskutin%C4%97_froido_sesija?theatreAreaID=1011&dt=23.12.2024,"Dar vienas žadą atimantis legendinio Anthony‘io Hopkinso vaidmuo. 1939 m. rugsėjį, praėjus porai dienų nuo Antrojo pasaulinio karo pradžios, į Zigmundo Froido (aktorius Anthony‘is Hopkinsas) namus žymiojo psichoanalitiko kvietimu atvyksta Oksfordo profesorius ir rašytojas C. S. Lewisas (akt. Matthew Goode‘as). Šio susitikimo tikslas – diskusija apie Dievo egzistavimą. C. S. Lewisas, dabar laikomas vienu žymiausių krikščioniškos simbolikos literatūroje propaguotoju, šventai tiki Dievo realumu. Ciniškas žmogaus psichologijos preparuotojas Z. Froidas Dievą ne mažiau aistringai neigia. Kaip ir dera tokiems intelekto milžinams, jų pokalbiai vien Dievu, žinoma, neapsiriboja. Ieškodami atsakymų bei argumentų apginti savo pozicijai, abu vyrai ima gilintis į asmeniškus ir skaudžius vienas kito gyvenimų aspektus. Į paviršių iškyla maniakiškas Z. Froido polinkis kontroliuoti visus ir viską – neišskiriant ir tikros dukters, kuri (nors jau suaugusi) nebegali gyventi be tėvo. Savo ruožtu C. S. Lewisas, nors ir nenoromis, yra priverčiamas papasakoti apie savo romantiškus santykius su geriausio draugo motina bei prisiminti Pirmajame pasauliniame kare patirtus baisumus. Tiesą sakant, niekas iš tikrųjų nežino, ar toks susitikimas vyko realybėje. Užtikrintai galima pasakyti tik vieną faktą: 1939 m. rugsėjo pradžioje Z. Froido namuose iš tiesų apsilankė neįvardintas Oksfordo profesorius. Kas galėtų paneigti, jog tai buvo būtent C. S. Lewisas? Realybė, prisiminimai, praeitis ir fantazijos – viskas susipina šioje intelektualioje dviejų puikių aktorių, įsikūnijusių į du žmonijos istorijos gigantus, tarpusavio akistatoje. Juosta „Paskutinė Froido sesija“ Lietuvoje startuoja lapkričio 15 dieną. Filmas anglų kalba su lietuviškais subtitrais.Amžiaus cenzas: N-13Režisierius: Matt Brown Vaidina: Anthony Hopkins, Matthew Goode, Liv Lisa Fries ir kt.",Drama,N13,Forum_cinemas,18:30
32,reemigrantai2(reemigrantai2),ReEmigrantai 2,https://www.forumcinemas.lt/event/310527/reemigrantai_2?theatreAreaID=1011&dt=23.12.2024,"Jau pažįstama ketveriukė Arminas (Audrius Bružas), Dariušas (Valentinas Krulikovskis), Friodas (Marius Pocevičius), Karosas (Kirilas Glušajevas) leidžiasi į naują, pavojų ir nuotykių kupiną kelionę. Londone miršta pusbrolių Froido ir Karoso baba Vida. Sutarta, kol Karosas ruoš šermenis, draugai į Lietuvą pargabens babos daiktus. Tačiau parengtą planą sujaukia netikėtos finansinės aplinkybės. Draugams tenka iš laidojimo namų pavogti babą ir per visą Europą sprukti į Lietuvą.  Ar pavyks bičiuliams babą Vidą pristatyti į jos laidotuves laiku? O gal įpykę smogikai iš Anglijos laidojimo namų juos sugaus ir privers už viską sumokėti? Veiksmo komedija „ReEMIGRANTAI 2“ žada tikrą vyrišką draugystę, dvigubai daugiau juoko ir trigubai daugiau veiksmo.Filmas lietuvių kalba, be subtitrų.Amžiaus cenzas: N-13. 7-12 m. vaikams būtina suaugusiojo palyda.Režisierius: Kęstutis GudavičiusVaidina: Audrius Bružas, Velentinas Krulikovskis, Marius Pocevičius, Kirilas Glušajevas","Komedija, Veiksmo",N13,Forum_cinemas,"18:30, 20:45, 21:40"
33,užgretimųdurų(roomnextdoor),The Room Next Door,https://www.forumcinemas.lt/event/310584/u%C5%BE_gretim%C5%B3_dur%C5%B3?theatreAreaID=1011&dt=23.12.2024,"Ispanų kino grandas Pedro Almodóvaras, jau seniausiai užsitarnavęs vietą kino Olimpe juostomis „Viskas apie mano mamą“, „Pasikalbėk su ja“, „Blogas auklėjimas“, „Sugrįžimas“, „Šalti apkabinimai“ pristato naują savo darbą – šių metų Venecijos kino festivalyje pagrindinį „Auksinio liūto“ apdovanojimą laimėjusią nuostabiai ramią, melancholišką, šiltą ir įžvalgią kino juostą „Už uždarų durų“.Jaunystėje viename prašmatniame Niujorko žurnale kartu dirbusių artimų draugių Ingridos ir Martos (aktorės Julianne Moore ir Tilda Swinton) gyvenimo keliai seniai išsiskyrę. Tačiau praėjus daugybei metų, nepagydoma liga serganti Marta susiranda Ingridą ir paprašo jos neįprastos paslaugos: pabūti šalia, kai Marta nuspręs pagaliau nutraukti savo kančias. Nors ir šokiruota tokio prašymo, Ingrida draugei atsakyti negali ir jos kartu išvyksta į nuošalų namelį, iš kurio Marta pasiryžusi nebeišvažiuoti. Netrukus į naują moterų kasdienybę sugrįžta ir dar vienas žmogus iš praeities: skirtingais laikotarpiais buvęs jų abiejų meilužis (akt. Johnas Turturro). Trys kažkada buvę draugai, apsunkinti daugybės metų patirties, bando iš naujo atrasti vienas kitą, prisiminti dalykus, kurie juos padarė bičiuliais ir susitaikyti su neišvengiama, nei vieno iš mūsų neaplenksiančia pabaiga.Amžiaus cenzas: N-13. 7-12 m. vaikams būtina suaugusiojo palyda.Filmas anglų kalba su lietuviškais subtitrais.Režisierius: Pedro Almodóvaras („Viskas apie mano mamą“, „Pasikalbėk su ja“, „Blogas auklėjimas“, „Sugrįžimas“, „Šalti apkabinimai“)Vaidina:	Tilda Swinton („Trys tūkstančiai metų troškimų“, „Viešbutis ,,Grand Budapest"", „Pasikalbėkime apie Keviną“),  Julianne Moore („Praeities šešėlis“, „Vis dar Elis“), John Turturro (TV serialas „Severance“, „Gloria Bell“).",Drama,N13,Forum_cinemas,18:50
34,vajana2(moana2),Moana 2 (dubbed),https://www.forumcinemas.lt/event/310129/vajana_2_dubliuotas?theatreAreaID=1011&dt=23.12.2024,"„Vajana 2“ kviečia pasinerti į naują kelionę!Vajana, sulaukusi netikėto ženklo iš savo protėvių, turi keliauti per tolimas Okeanijos jūras į itin pavojingus vandenis, kur jos laukia nuotykiai, nepanašūs į nieką, su kuo ji kada nors susidūrė.Kartu su pusdieviu ir geriausiu bičiuliu Maui bei visiškai nauja jūreivių įgula, narsioji Vajana epinėje kelionėje dar kartą prisimins savo tikrąją prigimtį.Kino studijos „Disney“ originali animacija „Vajana“, paremta Ramiojo vandenyno Polinezijos salų mitologija, supažindino su narsia mergaite, keliaujančia po vandens pasaulį ir siekiančia išgelbėti savo tautą. Filmas buvo nominuotas dviem „Oskaro“ apdovanojimams ir turėjo itin didelį poveikį visuomenės požiūriui į „Disney“ princeses.Filmas dubliuotas lietuviškai, be subtitrų.Režisavo: David G. Derrick jaunesnysis („Vajana“)","Animacija, Nuotykių, Šeimos",V,Forum_cinemas,"19:10, 21:10"
35,gardutė(gardutė),Gardutė,https://www.forumcinemas.lt/event/310052/gardut%C4%97?theatreAreaID=1011&dt=23.12.2024,"Entuziastinga kaimo mergina Saulė (A. Ravdo) ir kukli vieniša mama Ona (E. Ozarinskaitė) – aistringos virėjos, įstrigusios Kauno valgykloje „Gardutė“. Vieną dieną Saulė be Onos sutikimo jas įtraukia į kulinarinį realybės šou, kurio pagrindinis prizas - nuosavas restoranas. Saulė meluoja komisijai apie savo kilmę ir teigia, kad jos abi yra kvalifikuotos šefės iš restorano „La Gardutė“.Nors iš pradžių į „Gardutės“ komandą visi žiūri kaip į pokštą, paprasti, bet puikūs receptai padeda joms tapti žiūrovų numylėtinėmis. Nepaisant patiriamos sėkmės, įtampa tarp draugių pradeda augti, Onai susilaukiant vis daugiau žiūrovų ir teisėjo Emanuelio (L. Pobedonoscevas) dėmesio. Konkurso įžymybė, virtuvės šefė Bruknė (L. Rastokaitė) pasinaudoja proga ir bando jas dar labiau supriešinti. Ar Onos ir Saulės draugystė atlaikys šį išbandymą?Filmas lietuvių kalba, be subtitrų.Režisierė: Eglė VertelytėScenarijaus autorės: Eglė Vertelytė, Irena KunevičiūtėOperatorius: Vytautas PlukasDailininkas: Grigorijus ZundeliovičiusKompozitorius: Titas PetrikisProdiuseriai: Lukas TrimonisVaidina: Elena Ozarinskaitė, Agnieška Ravdo, Leonardas Pobedonoscevas, Lina Rastokaitė, Vytautas Rumšas Jaunesnysis, Monika Survilaitė, Natalija Janičkina, Darius Gumauskas, Deividas Breivė, Liubomiras Laucevičius, Andrius Bialobžeskis, Liutauras Čeprackas ir kiti.",Komedija,N7,Forum_cinemas,19:20
36,vajana23d(moana23d),Moana 2 (dubbed) 3D,https://www.forumcinemas.lt/event/310589/vajana_2_dubliuotas_3d?theatreAreaID=1011&dt=23.12.2024,"„Vajana 2“ kviečia pasinerti į naują kelionę!Vajana, sulaukusi netikėto ženklo iš savo protėvių, turi keliauti per tolimas Okeanijos jūras į itin pavojingus vandenis, kur jos laukia nuotykiai, nepanašūs į nieką, su kuo ji kada nors susidūrė.Kartu su pusdieviu ir geriausiu bičiuliu Maui bei visiškai nauja jūreivių įgula, narsioji Vajana epinėje kelionėje dar kartą prisimins savo tikrąją prigimtį.Kino studijos „Disney“ originali animacija „Vajana“, paremta Ramiojo vandenyno Polinezijos salų mitologija, supažindino su narsia mergaite, keliaujančia po vandens pasaulį ir siekiančia išgelbėti savo tautą. Filmas buvo nominuotas dviem „Oskaro“ apdovanojimams ir turėjo itin didelį poveikį visuomenės požiūriui į „Disney“ princeses.Ši filmo versija rodoma 3D formatu ir dubliuota lietuviškai.Režisavo: David G. Derrick jaunesnysis („Vajana“)","Animacija, Nuotykių, Šeimos",V,Forum_cinemas,20:10
