,name,show_name,link,about,genre,age,cinema,time
10,vajana2(moana2),Moana 2,https://www.apollokinas.lt/event/4779/vajana_2?theatreAreaID=1024&dt=23.12.2024,"„Vajana 2“ kviečia pasinerti į naują kelionę!Vajana, sulaukusi netikėto ženklo iš savo protėvių, turi keliauti per tolimas Okeanijos jūras į itin pavojingus vandenis, kur jos laukia nuotykiai, nepanašūs į nieką, su kuo ji kada nors susidūrė.Kartu su pusdieviu ir geriausiu bičiuliu Maui bei visiškai nauja jūreivių įgula, narsioji Vajana epinėje kelionėje dar kartą prisimins savo tikrąją prigimtį.Kino studijos „Disney“ originali animacija „Vajana“, paremta Ramiojo vandenyno Polinezijos salų mitologija, supažindino su narsia mergaite, keliaujančia po vandens pasaulį ir siekiančia išgelbėti savo tautą. Filmas buvo nominuotas dviem „Oskaro“ apdovanojimams ir turėjo itin didelį poveikį visuomenės požiūriui į „Disney“ princeses.Filmas dubliuotas lietuviškai.","komedija, nuotykių, animacinis, šeimos",V,Apollo Kinas Vilnius Outlet,17:50
11,piktoji(wicked),Wicked,https://www.apollokinas.lt/event/4702/piktoji?theatreAreaID=1024&dt=23.12.2024,"Po dviejų dešimtmečių vienas labiausiai pamėgtų, tiek jaunų, tiek senų žiūrovų, Brodvėjaus miuziklų atkeliauja į didįjį kino ekraną ir žada įspūdingą ir nepavaldžią laikui šventę!Dar negirdėtoje istorijoje apie Ozo raganas, pagrindinius vaidmenis atlieka „Grammy“, „Emmy“ bei „Tony“ apdovanojimų laimėtoja, anglų aktorė ir dainininkė Cynthia Erivo, vaidinanti Elphabą – jauną moterį, atstumtą dėl neįprastos žalios odos, kuri dar neatrado savo tikrosios galios – ir daugybės platininių įrašų amerikiečių popmuzikos atlikėja ir pasaulinė superžvaigždė Ariana Grande, vaidinanti Glindą – populiarią ir ambicingą jauną moterį, kuri dar neatrado savo tikrosios širdies.Susitikusios, kaip studentės fantastiškos Ozo žemės universitete, merginos netikėtai užmezga gilią draugystę. Vis dėlto susidūrusi su nuostabiuoju Ozo šalies burtininku, jų draugystė pasiekia kryžkelę ir jų gyvenimas pasisuka labai skirtingais keliais.Dėl liguisto populiarumo troškimo Glindą suvilioja valdžia. Tuo tarpu Elphabos pasiryžimas išlikti ištikimai sau ir aplinkiniams turės netikėtų ir net šokiruojančių padarinių jos ateičiai.Nepaprasti merginų nuotykiai Oze galiausiai išpildys savo, kaip gerosios ir piktosios raganos, likimus.Taip pat šiame filme karališkojo universiteto direktorę vaidina „Oskaro“ laureatė Michelle Yeoh, ir popkultūros ikona Jeff Goldblum vaidina legendinį Ozo burtininką.Sukurtas pagal Gregory Maguire romaną, pripažinto kino kūrėjo Jon M. Chu režisuotas filmas „Piktoji“ yra pirmoji dviejų dalių ekranizacija. Antroji dalis kino teatrus turėtų pasiekti 2025 metais. Iš „Ozo šalies burtininko“ teatro ir kino adaptacijų Lietuvoje vienas populiariausių – „Keistuolių teatro“ spektaklis vaikams „Geltonų plytų kelias“.Filmas dubliotas lietuviškai ir anglų kalba su lietuviškais subtitrais.","nuotykių, šeimos, Muzikinis",N7,Apollo Kinas Vilnius Outlet,"18:10, 20:30"
12,tyliojibrolija(order),Order,https://www.apollokinas.lt/event/4898/tylioji_brolija?theatreAreaID=1024&dt=23.12.2024,"Tikra istorija paremtas trileris apie radikalių baltųjų grupuočių veiklą JAV, kurių veiksmai sėjo paniką ir mirtį Aidaho ir Vašingtono valstijose, o tie patys planai vidaus terorizmo veiksmams siekė net 2021 metų sausio 6-osios sukilimą prie JAV Kapitolijaus.Ieškodamas ramesnio gyvenimo FTB agentas persikelia dirbti į mažą miestelį JAV vakaruose, tikėdamasis pamiršti praeities košmarus. Tačiau tik atvykęs jis pradeda pastebėti pirmuosius keistus ženklus, vedančios link itin pavojingos revoliucijos visos valstybės mastu. Radikalėjantys baltųjų galios, neonacizmo atstovai siekia kelti sumaištį visuomenėje ir paskelbti rasių karą, tačiau juos sustabdyti pirmieji bando mažo miestelio pareigūnai ir keli FTB agentai, kurių pastangos, atrodo, bergždžios prieš masinius sprogdinimus ir bankų bei šarvuotų automobilių apiplėšimus organizuojančius nusikaltėlius. Filmas anglų kalba su lietuviškais subtitrais.Filmo amžiaus cenzas N-16 (jaunesni asmenys neįleidžiami)","drama, trileris, kriminalinis",N16,Apollo Kinas Vilnius Outlet,18:30
13,mufasaliūtaskaralius(mufasalionking),Mufasa: The Lion King,https://www.apollokinas.lt/event/4773/mufasa_li%C5%ABtas_karalius?theatreAreaID=1024&dt=23.12.2024,"Našlaitis. Prašalaitis. Karalius! Liūtas, kuris amžiams pakeitė mūsų gyvenimus.Simba, užėmęs teisėtą vietą soste kaip žvėrių valdovas, yra pasiryžęs, kad jo jauniklė dukra Kiara sektų savo senelio Mufasos pėdomis ir pristato Afrikos žvėrių valdovo liūto legendą.Istorija pasakojama prisiminimais, kurie pristato būsimą karalių Mufasą kaip našlaitį jauniklį, pasimetusį ir vienišą, kuris atsitiktinai sutinka Taką – karališkosios kraujo linijos įpėdinį. Kartu jie ryžtasi gyvenimo kelionei, kurios metu privalės išvengti grėsmingo ir mirtino priešo.1994 m. kino teatruose pasirodęs animacinis filmas apie liūtuko Simbos gyvenimą ir nuotykius tapo tikra sensacija ir iki šiol išlaiko lyderio pozicijas kaip visų laikų populiariausias ranka pieštas animacinis filmas. Praėjus ketvirčiui amžiaus nuo originalo pasirodymo kino teatrus pasiekė kompiuteriu sukurtas „vaidybinis“ filmo perdirbinys, pristatęs istoriją naujai žiūrovų kartai.„Oskaro“ laureato režisieriaus Barry Jenkins kino juostą „Mufasa. Liūtas karalius“ originalo kalba įgarsina aukščiausio lygio kino žvaigždės, o muzikinį takelį pristato Lin-Manuel Miranda kartu su Elton John, Hans Zimmer, Labrinth, Beyoncé bei kt.Filmas dubliuotas lietuviškai.","drama, nuotykių, animacinis, šeimos",N7,Apollo Kinas Vilnius Outlet,"19:00, 21:50"
14,gladiatorius2(gladiatorii),Gladiator II,https://www.apollokinas.lt/event/4805/gladiatorius_2?theatreAreaID=1024&dt=23.12.2024,"Dėl valdžios. Dėl sukilimo. Dėl keršto. Viena istorija baigiasi. Ir prasideda kita.Liucijus (akt. Paul Mescal), buvusio Romos imperatoriaus Marko Aurelijaus anūkas ir Liucilos (akt. Connie Nielsen) sūnus, gyvena ramų gyvenimą kol jo nesujaukia Romos kareiviai, vadovaujami generolo Akacijaus (akt. Pedro Pascal), pagrobdami ir parduodami Liucijų į vergiją.Įkvėptas garsaus romėnų armijos generolo ir sau lygių neturėjusio gladiatoriaus Maksimo, Liucijus ryžtasi kovoti kaip gladiatorius, siekdamas sugriauti jaunųjų imperatorių Karakalos ir Getos valdžią.Įtūžis – jo dovana. Ir jis ją išpakuos didingiausioje šventykloje, kokią yra pastačiusi Roma – Koliziejuje – arenoje, kuri vergus paverčia gladiatoriais, o gladiatorius – laisvais žmonėmis.Prieš beveik ketvirtį amžiaus pasirodęs režisieriaus Ridley Scott epinis istorinės dramos filmas „Gladiatorius“ laimėjo net 48 apdovanojimus iš 119 nominacijų, tarp jų penkis „Oskarus“, įskaitant pagrindinį, geriausio filmo apdovanojimą.Filmas anglų kalba su lietuviškais subtitrais.Filmo amžiaus cenzas N-16 (jaunesni asmenys neįleidžiami)","drama, veiksmo, nuotykių",N16,Apollo Kinas Vilnius Outlet,21:10
15,medžiotojaskreivenas(kravenhunter),Kraven the Hunter,https://www.apollokinas.lt/event/4538/med%C5%BEiotojas_kreivenas?theatreAreaID=1024&dt=23.12.2024,"Dar būdamas paauglys, Sergejus Kravinofas (aktorius Aaronas Tayloras-Johnsonas) iš savo tėvo Nikolajaus (akt. Russellas Crowe) išmoko svarbią pamoką: niekuomet niekam neparodyti savo silpnumo. Vienos medžioklės metu, likęs akis į akį su liūtu, vaikinas nesugebėjo laiku nuspausti gaiduko ir liūtas jį užpuolė. Užuot gelbėjęs, principams ištikimas tėvas paliko sūnų mirti. Tik Sergejus nemirė.Priešingai: į jo organizmą patekus taip pat sužeisto liūto kraujo, vaikinas įgijo šio žvėries galios bei stiprybės. O svarbiausia – jame prabudo pagrindinis visų plėšrūnų instinktas žudyti. Sergejus tapo Kreivenu – tikru medžiotoju, pasiryžusiu įrodyti, kad yra geriausias pasaulyje. Medžiotoju, kuris, išsrinkęs auką, nesustos ir nenusiramins, kol nepasieks savo tikslo. Klausimas tik – kas taps ta jo auka?Filmas anglų kalba su lietuviškais subtitrais.","veiksmo, mokslinė fantastika, nuotykių",N16,Apollo Kinas Vilnius Outlet,21:20
16,eretikas(heretic),Heretic,https://www.apollokinas.lt/event/4802/eretikas?theatreAreaID=1024&dt=23.12.2024,"Iš pažiūros nekalti pono Rido (vaidina Hugh Grant) namai slepia intelektualius, tačiau mirtinus spąstus, į kuriuos pakliūva dvi jaunos misionierės. Vos pabeldusios į duris, merginos atsiduria įtampos kupiname „katės ir pelės“ žaidime, iš kurio ištrūkti pavyks tik akis į akį susidūrus su neįmanomais, stebuklams prilygstančiais reiškiniais, kurie sudrebins jų tikėjimo pamatus. Šiuose spąstuose pasirinkimas, kuo tikėti, taps gyvybės ir mirties klausimu.Naujas žvilgsnis į tikėjimą religiniame siaubo trileryje „Eretikas“ – kinuose nuo lapkričio 22 dienos.Filmas anglų kalba su lietuviškais subtitrais.Filmo amžiaus cenzas N-16 (jaunesni asmenys neįleidžiami)","siaubo, trileris",N16,Apollo Kinas Vilnius Outlet,21:55
17,mufasaliūtaskaralius(mufasalionking),Mufasa: The Lion King,https://www.apollokinas.lt/event/4773/mufasa_li%C5%ABtas_karalius?theatreAreaID=1019&dt=23.12.2024,"Našlaitis. Prašalaitis. Karalius! Liūtas, kuris amžiams pakeitė mūsų gyvenimus.Simba, užėmęs teisėtą vietą soste kaip žvėrių valdovas, yra pasiryžęs, kad jo jauniklė dukra Kiara sektų savo senelio Mufasos pėdomis ir pristato Afrikos žvėrių valdovo liūto legendą.Istorija pasakojama prisiminimais, kurie pristato būsimą karalių Mufasą kaip našlaitį jauniklį, pasimetusį ir vienišą, kuris atsitiktinai sutinka Taką – karališkosios kraujo linijos įpėdinį. Kartu jie ryžtasi gyvenimo kelionei, kurios metu privalės išvengti grėsmingo ir mirtino priešo.1994 m. kino teatruose pasirodęs animacinis filmas apie liūtuko Simbos gyvenimą ir nuotykius tapo tikra sensacija ir iki šiol išlaiko lyderio pozicijas kaip visų laikų populiariausias ranka pieštas animacinis filmas. Praėjus ketvirčiui amžiaus nuo originalo pasirodymo kino teatrus pasiekė kompiuteriu sukurtas „vaidybinis“ filmo perdirbinys, pristatęs istoriją naujai žiūrovų kartai.„Oskaro“ laureato režisieriaus Barry Jenkins kino juostą „Mufasa. Liūtas karalius“ originalo kalba įgarsina aukščiausio lygio kino žvaigždės, o muzikinį takelį pristato Lin-Manuel Miranda kartu su Elton John, Hans Zimmer, Labrinth, Beyoncé bei kt.Filmas dubliuotas lietuviškai.","drama, nuotykių, animacinis, šeimos",N7,Apollo Kinas Akropolyje,"16:30, 18:30, 18:40, 21:20, 21:40"
18,4dienosikikalėdų(superklaus),SuperKlaus,https://www.apollokinas.lt/event/4887/4_dienos_iki_kal%C4%97d%C5%B3?theatreAreaID=1019&dt=23.12.2024,"Liko vos keturios dienos iki Kalėdų, o Šiaurės ašigalyje įvyko tai, ko niekada anksčiau nebuvo nutikę – Kalėdų senelis susitrenkė galvą, o tada prasidėjo pačios tikriausios problemytės! Atsipeikėjęs po šio įvykio, jis ėmė manyti, kad yra Super Klausas – drąsiausias, stipriausias ir šauniausias super herojus iš vaikų mėgstamo serialo! Išleidęs elnius atostogų ir leidęs jiems suvalgyti visus kalėdinius saldainius „super senelis“ sėdo į super roges ir, nemokėdamas jų valdyti, išrūko į didžiulį miestą. Jame „drąsuolis“ prikrečia tiek eibių, kad net visko matę elfai, susiėmę už galvų ir ištikti šoko puolė jo visur ieškoti... Visai netyčia išdykusį „super senelį“ atranda mergaitė Lili ir jos geriausias draugas, robotukas Karlas. Pamestas išmanusis laikrodukas patvirtina tiesą – tai tikrasis Kalėdų senelis, kurio ieško vyriausiasis elfas Leo! Iki gražiausios metų šventės liko 72 valandos, 36 minutės ir 8 sekundės. Jeigu senelis stebuklingąją naktį viso pasaulio vaikams neišdalins dovanų, Kalėdų šventė išnyks amžiams! Bet baisiausia ne tai ...Godus ir klastingas žaislų pardavėjas Fafniras turi savo planą! Jis svajoja, kad visi pasaulio žmonės pirktų dovanas, o ne jas gautų! Be to, jis nori, kad dovanos greitai sulūžtų, nes jeigu jos ilgai tarnaus, žmonės nepirks naujų. Todėl Fafniras nori atsikratyti tikrojo Kalėdų senelio ir perimti jo slaptąsias kalėdinių dovanėlių dirbtuves! Dabar pats metas, kai senelis šiek tiek „kvaištelėjęs“. Laiko iki šventės lieka vis mažiau, o Fafniro dronai jau suka ratus aplink miestą!Lili, robotukas Karlas, elfas Leo ir prisivalgęs saldainių storulis elnias Albertas privalo išgelbėti Kalėdų senelį ir padėti jam prisiminti, kas iš tiesų jis yra! Norėdami sugrąžinti tikrąją Kalėdų dvasią, draugai turės įveikti ne tik Fafniro kėslus, bet ir suprasti, kad tikroji švenčių magija nutinka tada, kai visų širdys prisipildo šventinio ir nuoširdaus džiaugsmo! Smagi, pamokanti ir labai juokinga animacija visai šeimai kino teatruose nuo gruodžio 13 dienos! VAIDMENIS ĮGARSINO: Arbačiauskas, Giedrius (Frenkas); Dainavičius, Algirdas (Santa); Damaševičius, Jurgis (tėtis); Gražulytė, Goda (Alisija); Ivanovas Sergejus (Leo); Teresiūtė- Aukštikalnė, Adelė (Lili); Varnelytė, Neringa (mama) ir ktFilmas dubliuotas lietuviškai, be subtitrų.","animacinis, šeimos",V,Apollo Kinas Akropolyje,16:35
19,piktoji(wicked),Wicked,https://www.apollokinas.lt/event/4702/piktoji?theatreAreaID=1019&dt=23.12.2024,"Po dviejų dešimtmečių vienas labiausiai pamėgtų, tiek jaunų, tiek senų žiūrovų, Brodvėjaus miuziklų atkeliauja į didįjį kino ekraną ir žada įspūdingą ir nepavaldžią laikui šventę!Dar negirdėtoje istorijoje apie Ozo raganas, pagrindinius vaidmenis atlieka „Grammy“, „Emmy“ bei „Tony“ apdovanojimų laimėtoja, anglų aktorė ir dainininkė Cynthia Erivo, vaidinanti Elphabą – jauną moterį, atstumtą dėl neįprastos žalios odos, kuri dar neatrado savo tikrosios galios – ir daugybės platininių įrašų amerikiečių popmuzikos atlikėja ir pasaulinė superžvaigždė Ariana Grande, vaidinanti Glindą – populiarią ir ambicingą jauną moterį, kuri dar neatrado savo tikrosios širdies.Susitikusios, kaip studentės fantastiškos Ozo žemės universitete, merginos netikėtai užmezga gilią draugystę. Vis dėlto susidūrusi su nuostabiuoju Ozo šalies burtininku, jų draugystė pasiekia kryžkelę ir jų gyvenimas pasisuka labai skirtingais keliais.Dėl liguisto populiarumo troškimo Glindą suvilioja valdžia. Tuo tarpu Elphabos pasiryžimas išlikti ištikimai sau ir aplinkiniams turės netikėtų ir net šokiruojančių padarinių jos ateičiai.Nepaprasti merginų nuotykiai Oze galiausiai išpildys savo, kaip gerosios ir piktosios raganos, likimus.Taip pat šiame filme karališkojo universiteto direktorę vaidina „Oskaro“ laureatė Michelle Yeoh, ir popkultūros ikona Jeff Goldblum vaidina legendinį Ozo burtininką.Sukurtas pagal Gregory Maguire romaną, pripažinto kino kūrėjo Jon M. Chu režisuotas filmas „Piktoji“ yra pirmoji dviejų dalių ekranizacija. Antroji dalis kino teatrus turėtų pasiekti 2025 metais. Iš „Ozo šalies burtininko“ teatro ir kino adaptacijų Lietuvoje vienas populiariausių – „Keistuolių teatro“ spektaklis vaikams „Geltonų plytų kelias“.Filmas dubliotas lietuviškai ir anglų kalba su lietuviškais subtitrais.","nuotykių, šeimos, Muzikinis",N7,Apollo Kinas Akropolyje,"16:40, 18:00, 20:50"
